id,name,location,shopping,resident,building,weekend,workday,worknight
B00155DSWR,中国石化伊宁路加油站,"121.222459,31.330326",0.30952381,8.167063492,0.986111111,4.305952381,1.501230159,4.373611111
B00156GLGH,中国石油新建加油站(新建一路),"121.285276,31.418473",0.833333333,8.170021645,0.65952381,4.484296537,1.46271645,4.466915584
B00155HDDB,中国海油加油站,"121.219629,31.366236",0,1.613875014,0.083333333,0.81527084,0.211387501,0.823604174
B001536029,中国石化加油站(博乐南路),"121.261551,31.375709",2.641378066,24.36055334,8.018265068,14.0386544,8.039427794,14.5763431
B00155IV1E,中国石化加油站,"121.162659,31.286424",1.583333333,17.26666667,8.491666667,10.11583333,7.296666667,10.80666667
B00155HDDC,中国海油加油站(松鹤大道),"121.206257,31.331313",0.142857143,4.911904762,0.5,2.563095238,0.834047619,2.598809524
B0FFGKWAQ1,中国石化横仓加油站,"121.305831,31.366246",0,3.732936508,0.490079365,1.91547619,0.66734127,1.964484127
B0FFGKWOER,中国石化澄浏加油站,"121.286412,31.362310",0.488888889,5.200924076,1.127380952,2.908755689,1.343187646,2.972604895
B0FFGBDYU3,中国石化加油站,"121.168141,31.309619",1.583333333,17.23690476,7.991666667,10.05095238,6.993690476,10.69178571
B0FFG75S92,中国石化嘉黄加油站,"121.238949,31.265195",0.125,1.578968254,0.253968254,0.864880952,0.347777778,0.877777778
B001500228,中国石化加油站,"121.216719,31.424672",0.666666667,6.59469697,1.794444444,3.743459596,1.936136364,3.856237374
B0FFGBDYUI,中国石化加油站,"121.220661,31.315691",0.392857143,4.846825397,0.75,2.655555556,1.052539683,2.691269841
B00150053C,中国海油加油站(古猗园路),"121.308898,31.300334",3.40952381,31.63373016,10.53214286,18.23388889,10.50551587,18.94615079
B0FFGE8N10,中国石化加油站,"121.270878,31.298006",0.333333333,7.997222222,2.369480519,4.368892496,2.321410534,4.572507215
B0FFGH2QVR,中国石化(沙河加油站),"121.324019,31.234555",1.185714286,5.472691198,5.053571429,3.715988456,3.935126263,4.10277417
B00155DSR2,中国石化协通加油站,"121.257291,31.275412",0.736111111,3.21984127,1.098845599,2.014249639,1.20212482,2.050523088
B0FFG75SA5,中国石化嘉麒加油站,"121.24057,31.269922",0.736111111,2.795238095,1.116702742,1.803733766,1.170378788,1.841792929
B00155HDDT,中国石化马陆加油站(宝安公路),"121.292395,31.333389",4.587301587,27.27374847,6.005555556,16.07235043,7.706898657,16.21417582
B0FFG742SS,中国石化宝潘加油站,"121.314349,31.451338",0.333333333,0.5,0,0.383333333,0.15,0.35
B0FFGL0VKZ,霞盛加油站(装修中),"121.284488,31.370758",1.516666667,14.85865523,6.45037185,8.681031469,5.811088634,9.174401987
B00155A3UM,中国石化(真新加油站),"121.374178,31.250456",1.18968254,12.67756133,5.041269841,7.318780664,4.649422799,7.703939394
B00151CFEF,中国石化加油站(仓场路),"121.258249,31.382203",2.308044733,25.98475968,8.26032856,14.74163059,8.247086525,15.33685897
B00155ND7J,中国石化加油站,"121.358075,31.242105",0,7.282575758,2.45,3.886287879,2.198257576,4.131287879
