%  columns="iteration, evaluation, sigma, axis ratio, bestever, best, median, worst fitness function value, further objective values of best" (startseed=207458, 2018/01/24 18:3:10.59)
1 9 6.167647e-01 1.214804e+00  1.192202758107929000e+03  1.192202758107929000e+03  1.331893783987422000e+03  1.560030149146482500e+03
2 17 6.060156e-01 1.278789e+00  1.116985578420840500e+03  1.116985578420840500e+03  1.232534358867328600e+03  1.479159244446062500e+03
3 25 5.685424e-01 1.292013e+00  1.099521875969466200e+03  1.099521875969466200e+03  1.238207366691361400e+03  1.280965523793490800e+03
4 33 6.208188e-01 1.486358e+00  1.089688119523129000e+03  1.089688119523129000e+03  1.238494777219601000e+03  1.355226615243298500e+03
5 41 6.473088e-01 1.618375e+00  1.025966087201978600e+03  1.025966087201978600e+03  1.191877028746099300e+03  1.409351796165637300e+03
6 49 7.203364e-01 1.771152e+00  1.015625271071130100e+03  1.015625271071130100e+03  1.106830409676298600e+03  1.320357895354060900e+03
7 57 7.164825e-01 1.864580e+00  9.751535652270074500e+02  9.751535652270074500e+02  1.131415188626506700e+03  1.232169142372090400e+03
8 65 6.757084e-01 1.908616e+00  9.751535652270074500e+02  9.769077689365505000e+02  1.110096533077176400e+03  1.178304165445079900e+03
9 73 6.374945e-01 2.008588e+00  9.743954229539735900e+02  9.743954229539735900e+02  1.112135131472270800e+03  1.315488400618460700e+03
10 81 5.648754e-01 1.993641e+00  9.729205484617068600e+02  9.729205484617068600e+02  1.002228287139071000e+03  1.399414668696648500e+03
11 89 4.878758e-01 1.990548e+00  9.729205484617068600e+02  9.754499768795035400e+02  1.051008540043644000e+03  1.363793555186239900e+03
12 97 4.459403e-01 2.005438e+00  9.729205484617068600e+02  9.763231546594059900e+02  9.857713122696484300e+02  1.040249113770745500e+03
13 105 3.584113e-01 2.012563e+00  9.729205484617068600e+02  9.735586429364018400e+02  9.814795355070962200e+02  1.016431811227658500e+03
14 113 3.028649e-01 1.993069e+00  9.729205484617068600e+02  9.746853780139256300e+02  9.831793589931123700e+02  1.040179528428025200e+03
15 121 2.782956e-01 1.987345e+00  9.729205484617068600e+02  9.789899325298296200e+02  1.060255208138612900e+03  1.306294706794690700e+03
16 129 2.342664e-01 1.980958e+00  9.729205484617068600e+02  9.745155735362697000e+02  1.189575484406008900e+03  1.315906475319027800e+03
17 137 2.151787e-01 2.003504e+00  9.729205484617068600e+02  9.776928535102357500e+02  1.284828396020055200e+03  1.311191575924423400e+03
18 145 1.910254e-01 1.998924e+00  9.729205484617068600e+02  9.772434158762799800e+02  9.798499940940605500e+02  9.834741473177267600e+02
19 153 1.856128e-01 1.990010e+00  9.729205484617068600e+02  9.746602437703817300e+02  9.791103050761164500e+02  9.828685930086162400e+02
20 161 1.977760e-01 1.852557e+00  9.729205484617068600e+02  9.765070197277067300e+02  9.819178157503668000e+02  1.287799408348849700e+03
21 169 1.836351e-01 1.913276e+00  9.729205484617068600e+02  9.758106984461927600e+02  9.775875956577081100e+02  1.095623759497143100e+03
22 177 2.002771e-01 1.953728e+00  9.716473501891371100e+02  9.716473501891371100e+02  9.785790125662042600e+02  9.840059920642862600e+02
23 185 1.888033e-01 1.985636e+00  9.716473501891371100e+02  9.733955796221325700e+02  9.840513795096712800e+02  1.146564102892640700e+03
24 193 1.588072e-01 1.956597e+00  9.716473501891371100e+02  9.737839258300865600e+02  9.777409992839431000e+02  1.089849623934763300e+03
25 201 1.561576e-01 2.012038e+00  9.715386284255196200e+02  9.715386284255196200e+02  9.751645002374159500e+02  9.776519198734212100e+02
