%  columns="iteration, evaluation, void, void, void, xmean" (startseed=207458, 2018/01/24 18:3:10.59)
0 1 0 0 0 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
1 9 0 0 0 6.214926e-01 -5.973835e-02 -5.222466e-01 -1.778039e-01 -6.360465e-01 
2 17 0 0 0 -1.749809e-01 -5.537398e-01 -2.504929e-01 -6.537261e-01 -1.741118e-01 
3 25 0 0 0 3.406554e-01 -2.595587e-01 2.995135e-01 -3.693843e-01 2.439454e-01 
4 33 0 0 0 5.500736e-01 -2.419347e-01 9.485297e-01 -1.511764e-01 7.029432e-01 
5 41 0 0 0 8.746001e-01 -2.240526e-01 1.339674e+00 1.711021e-02 3.497155e-01 
6 49 0 0 0 1.669278e+00 -2.034227e-01 1.642164e+00 -3.966527e-01 5.670017e-01 
7 57 0 0 0 1.409064e+00 -4.148535e-01 1.882639e+00 -2.661486e-01 1.249920e+00 
8 65 0 0 0 1.871627e+00 -9.840829e-02 1.542168e+00 4.086977e-02 1.146951e+00 
9 73 0 0 0 1.745733e+00 -8.373693e-02 2.377673e+00 -1.800164e-01 1.480445e+00 
10 81 0 0 0 1.563273e+00 2.065088e-02 2.418743e+00 -2.770772e-01 1.512685e+00 
11 89 0 0 0 1.515590e+00 -1.044802e-01 1.942698e+00 -2.856517e-01 1.630158e+00 
12 97 0 0 0 1.513709e+00 1.152127e-02 2.096026e+00 8.700984e-02 1.747733e+00 
13 105 0 0 0 1.688368e+00 -7.480674e-03 2.117806e+00 -1.621601e-01 1.605218e+00 
14 113 0 0 0 1.708380e+00 9.928084e-02 1.977755e+00 -1.639341e-01 1.544921e+00 
15 121 0 0 0 1.675443e+00 1.747606e-01 1.824310e+00 -4.854836e-02 1.616438e+00 
16 129 0 0 0 1.538445e+00 9.966616e-02 1.801496e+00 -7.252037e-02 1.594564e+00 
17 137 0 0 0 1.691727e+00 7.657512e-02 1.836966e+00 -1.884681e-01 1.703580e+00 
18 145 0 0 0 1.683004e+00 -3.028738e-03 1.974109e+00 -1.527660e-01 1.639357e+00 
19 153 0 0 0 1.791647e+00 7.626436e-02 1.984237e+00 -1.450559e-02 1.604266e+00 
20 161 0 0 0 1.858128e+00 5.271095e-02 1.887525e+00 9.656808e-02 1.621677e+00 
